sequence,base_sequence,sequence_index,frame_id,D_obj_cm,E_obs_cm,E_prior_cm,e_obs_norm,e_prior_norm,E_update_cm,e_update_norm,obs_abs_risk_label,prior_abs_risk_label,obs_risk_label,prior_risk_label,delta_E_gt_cm,pair_state_gt,prior_advantage_margin_cm,x1_obs_depth_residual,x1_obs_norm,x2_obs_inlier_error,x4_obs_support_ratio,x5_obs_geometry_inconsistency,x1_prior_depth_residual,x1_prior_norm,x2_prior_inlier_error,x4_prior_support_ratio,x5_prior_geometry_inconsistency,e_obs_hat_norm,e_prior_hat_norm,E_obs_hat_cm,E_prior_hat_cm,p_obs_risk_rollout,p_prior_risk_rollout,delta_E_hat_cm,rollout_mode,policy_model_stage
mustard0_occ40,mustard0,0,0,22.44201091725071,0.09143322547488093,0.09143322547488093,0.004074199313600641,0.004074199313600641,0.09143322547488093,0.004074199313600641,0,0,0,0,0.0,TIE,0.1,19.258733093738556,0.8581554106158449,0.3755482456140351,0.30408241394856006,0.5190268247036807,19.258733093738556,0.8581554106158449,0.3755482456140351,0.30408241394856006,0.5190268247036807,0.013097475857064606,0.013097475857064606,0.29393369617267145,0.29393369617267145,0.0,0.0,0.0,MODE_1_ACCEPT,final_frozen_shared_quality
mustard0_occ40,mustard0,1,1,22.44201091725071,0.08287034471778328,0.08287034471778328,0.00369264345442781,0.00369264345442781,0.08287034471778328,0.00369264345442781,0,0,0,0,0.0,TIE,0.1,19.486577808856964,0.8683080086142385,0.3868852459016393,0.3017932113628645,0.5252774352651048,19.486577808856964,0.8683080086142385,0.3868852459016393,0.3017932113628645,0.5252774352651048,0.013803999157379131,0.013803999157379131,0.30978949979162207,0.30978949979162207,0.0,0.0,0.0,MODE_1_ACCEPT,final_frozen_shared_quality
mustard0_occ40,mustard0,2,2,22.44201091725071,0.044543809070783265,0.06941992032683013,0.0019848403619010524,0.003093302136907369,0.044543809070783265,0.0019848403619010524,0,0,0,0,0.024876111256046864,TIE,0.1,19.43696290254593,0.8660972037762061,0.3827909542195257,0.3082792853556685,0.5228113440197287,19.321204721927643,0.8609391018108735,0.38275672707303676,0.30522701524140783,0.525633106856084,0.013502246297528159,0.013346452796230389,0.3030175588165349,0.29952123935957364,0.0,0.0,-0.003496319456961272,MODE_1_ACCEPT,final_frozen_shared_quality
mustard0_occ40,mustard0,3,3,22.44201091725071,0.06860120590243975,0.07595261830043364,0.0030568208060939594,0.003384394499249193,0.06860120590243975,0.0030568208060939594,0,0,0,0,0.0073514123979938895,TIE,0.1,19.287143647670746,0.8594213646356048,0.38706140350877194,0.30408241394856006,0.5261216963736939,19.35776025056839,0.8625679900943494,0.3820960698689956,0.3010301438342994,0.528721432983323,0.013615008154318823,0.01325515793722842,0.30554816163768045,0.2974723991371626,0.0,0.0,-0.008075762500517836,MODE_1_ACCEPT,final_frozen_shared_quality
mustard0_occ40,mustard0,4,4,22.44201091725071,0.08666228620043961,0.0978742003942745,0.0038616096623419836,0.004361204562067147,0.08666228620043961,0.0038616096623419836,0,0,0,0,0.011211914193834882,TIE,0.1,19.352810084819794,0.8623474142392333,0.38681318681318677,0.30560854900569046,0.5203647416413374,19.648028910160065,0.8755021545354045,0.3933077345035656,0.3044639477128427,0.533457249070632,0.013859913388334477,0.013979805026689388,0.3110443275731516,0.3137349370299996,0.0,0.0,0.0026906094568480143,MODE_1_ACCEPT,final_frozen_shared_quality
mustard0_occ40,mustard0,5,8,22.44201091725071,0.10700746622551002,0.16857898047728057,0.004768176373323819,0.007511759133300189,0.10700746622551002,0.004768176373323819,0,0,0,0,0.06157151425177054,TIE,0.1,19.163542985916138,0.8539138073043855,0.38457269700332963,0.31247615676277707,0.5269607843137255,18.94470453262329,0.8441625219093396,0.38142620232172475,0.3098054204127989,0.5272838749233599,0.013210739938917993,0.012869372576470316,0.2964755699341576,0.28881459985931374,0.0,0.0,-0.0076609700748438425,MODE_1_ACCEPT,final_frozen_shared_quality
mustard0_occ40,mustard0,6,10,22.44201091725071,0.08156010664605219,0.1491880867808675,0.003634260180461753,0.006647714740491001,0.08156010664605219,0.003634260180461753,0,0,0,0,0.06762798013481532,TIE,0.1,18.947739899158478,0.8442977756772119,0.38541666666666663,0.30408241394856006,0.5178896300788356,18.769969046115875,0.8363764332583845,0.3878887070376432,0.30064861007001675,0.5222222222222221,0.013613267672903306,0.013530623536676847,0.30550910173475215,0.3036544011273112,0.0,0.0,-0.0018547006074409733,MODE_1_ACCEPT,final_frozen_shared_quality
mustard0_occ40,mustard0,7,14,22.44201091725071,0.09522755111963052,0.09603044519465057,0.004243271758077217,0.004279048145406344,0.09522755111963052,0.004243271758077217,0,0,0,0,0.0008028940750200442,TIE,0.1,19.623278081417084,0.8743992752598243,0.3780687397708674,0.30064861007001675,0.5209617755856967,19.44737583398819,0.8665611965743851,0.3823851203501094,0.3025562788914298,0.5265405735204394,0.013484199536837806,0.013405116303726096,0.302612553216101,0.3008377664352365,0.0,0.0,-0.0017747867808644568,MODE_1_ACCEPT,final_frozen_shared_quality
mustard0_occ40,mustard0,8,19,22.44201091725071,0.09468598297344909,0.12793704380780963,0.004219139867749816,0.005700783422641822,0.09468598297344909,0.004219139867749816,0,0,0,0,0.03325106083436054,TIE,0.1,19.05609220266342,0.8491258770405195,0.3812636165577342,0.2995040087771691,0.5153940886699507,19.298504292964935,0.8599275868870813,0.3760964912280702,0.30408241394856006,0.5067901234567902,0.013566706778866578,0.01366889205980174,0.30446418164246297,0.30675742483279217,0.0,0.0,0.002293243190329197,MODE_1_ACCEPT,final_frozen_shared_quality
mustard0_occ40,mustard0,9,20,22.44201091725071,0.06437160873124277,0.10713291886190769,0.002868352972850648,0.004773766453324235,0.06437160873124277,0.002868352972850648,0,0,0,0,0.04276131013066492,TIE,0.1,19.499462842941284,0.8688821565429528,0.3965896589658966,0.3063716165342556,0.5293390982087709,19.180960953235626,0.854689939505003,0.39583333333333337,0.30408241394856006,0.5321707757065544,0.01424964381687659,0.013896226395679858,0.3197906621052785,0.31185926448043483,0.0,0.0,-0.007931397624843683,MODE_1_ACCEPT,final_frozen_shared_quality
