episode,frame_id,E_obs_cm,E_prior_cm,E_obs_hat_cm,E_prior_hat_cm,e_obs_hat_norm,e_prior_hat_norm,p_obs_risk,p_prior_risk,delta_E_gt_cm,delta_E_hat_cm,selected_mode,policy_variant,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,restart_zero_velocity_prior,output_uncertain,output_quality_unverified,both_candidates_bad,local_candidate_oracle_cm,b6_oracle_source,b6_oracle_version,is_blackout,recovery_attempted,observer_source,observer_restart,observer_wall_ms,sam2_frame_wall_ms,sam2_propagated_frames_total,sam2_cached_frames_consumed,sam2_timing_scope,sam2_cache_receipt_sha256,perception_runtime_version,relocalization_attempted,relocalization_generated,relocalization_used,relocalization_raw_error_cm,relocalization_failure_reason,relocalization_cache_hit,relocalization_wall_ms,sam2_cache_hit,quality_wall_ms,transition_wall_ms,policy_wall_ms,error_b1_obs_cm,error_b2_cm,error_b3_cm,error_b4_cm,error_b5_ours_cm,error_b6_oracle_cm
sugar_box_yalehand0_drop60,0,0.9948403937746332,0.9948403937746332,1.2754129572785087,1.2754129572785087,0.0620846155491685,0.0620846155491685,0.7946843853820601,0.7946843853820601,0.0,0.0,MODE_3_RELOCALIZE,no_observer_reseed,four_mode_relocalization_v2,,0,0,0,False,1,0,0.9948403937746332,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,3.3913394436240196,0,1,cache_read_only_not_online_fps,75af0ef3fc918763f0b62d63899bd6f7a427eaf26ec2562352624519f5cf2837,cached_perception_v2,1,1,1,1.2069374502617125,,1,30445.226836949587,0,20.168710500001907,30445.226836949587,30468.786886893213,0.9948403937746332,0.9948403937746341,0.9948403937746332,0.9948403937746347,1.2069374502617125,0.9948403937746332
sugar_box_yalehand0_drop60,1,1.3183479620917666,1.3183479620917666,1.2112581237144413,1.2112581237144413,0.05896168336103624,0.05896168336103624,0.7946843853820601,0.7946843853820601,0.0,0.0,MODE_3_RELOCALIZE,no_observer_reseed,four_mode_relocalization_v2,,0,0,0,False,1,1,1.3183479620917666,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,3.0044903978705406,0,2,cache_read_only_not_online_fps,75af0ef3fc918763f0b62d63899bd6f7a427eaf26ec2562352624519f5cf2837,cached_perception_v2,1,1,1,3.5761654924710387,,1,2295.033324509859,0,11.43970899283886,2295.033324509859,2309.4775239005685,1.3183479620917666,1.318347962091766,1.3183479620917666,1.3183479620917655,3.5761654924710387,1.3183479620917666
sugar_box_yalehand0_drop60,2,1.6982990056379548,2.7903239644859066,1.3688662647591563,1.2129120409195184,0.06663374031195486,0.0590421928252387,0.7946843853820601,0.7946843853820601,1.0920249588479518,-0.15595422383963786,MODE_3_RELOCALIZE,no_observer_reseed,four_mode_relocalization_v2,,0,0,0,False,1,1,1.6982990056379548,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,1.5222225338220596,0,3,cache_read_only_not_online_fps,75af0ef3fc918763f0b62d63899bd6f7a427eaf26ec2562352624519f5cf2837,cached_perception_v2,1,1,1,3.613961045511988,,1,2284.483569674194,0,12.088422663509846,2284.483569674194,2298.0942148715258,1.6982990056379548,1.64871641540772,1.614216463432805,1.6896972671988582,3.613961045511988,1.6982990056379548
sugar_box_yalehand0_drop60,3,2.1116197060481983,3.7240239874630556,1.3727612041923871,1.3727611467391827,0.06682333836795659,0.06682333557124664,0.7946843853820601,0.7946843853820601,1.6124042814148574,-5.7453204416191284e-08,MODE_3_RELOCALIZE,no_observer_reseed,four_mode_relocalization_v2,,0,0,0,False,1,1,2.1116197060481983,policy_output,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,1.9420115277171135,0,4,cache_read_only_not_online_fps,75af0ef3fc918763f0b62d63899bd6f7a427eaf26ec2562352624519f5cf2837,cached_perception_v2,1,1,1,0.963529838550419,,1,2281.771609559655,0,10.503384284675121,2281.771609559655,2294.2170053720474,2.1116197060481983,1.9816213839604024,2.1116197060481983,2.1113130441224053,0.963529838550419,0.963529838550419
sugar_box_yalehand0_drop60,4,2.5969750929303603,4.150799431474301,1.4343416513787641,1.5805488574779805,0.06982095444759097,0.0769380361185793,0.7946843853820601,0.7946843853820601,1.5538243385439405,0.14620720609921634,MODE_3_RELOCALIZE,no_observer_reseed,four_mode_relocalization_v2,,0,0,0,False,1,1,2.5969750929303603,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,1.8073460087180138,0,5,cache_read_only_not_online_fps,75af0ef3fc918763f0b62d63899bd6f7a427eaf26ec2562352624519f5cf2837,cached_perception_v2,1,1,1,3.298097857802347,,1,2281.9698359817266,0,11.114508844912052,2281.9698359817266,2294.8916908353567,2.5969750929303603,2.59101690831861,2.5969750929303603,2.5963856548568405,3.298097857802347,2.5969750929303603
sugar_box_yalehand0_drop60,5,2.779150598776044,5.87871809190985,1.3863603424508115,1.654829375231021,0.06748531789839499,0.08055386686670904,0.7946843853820601,0.7946843853820601,3.0995674931338058,0.2684690327802095,MODE_3_RELOCALIZE,no_observer_reseed,four_mode_relocalization_v2,,0,0,0,False,1,1,2.779150598776044,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,1.5425896272063255,0,6,cache_read_only_not_online_fps,75af0ef3fc918763f0b62d63899bd6f7a427eaf26ec2562352624519f5cf2837,cached_perception_v2,1,1,1,2.8302333943101012,,1,2282.7660059556365,0,10.586372576653957,2282.7660059556365,2294.894968159497,2.779150598776044,3.016464656192187,3.0811592519816235,2.7784864527417454,2.8302333943101012,2.779150598776044
sugar_box_yalehand0_drop60,6,2.6702604859158394,2.289443594974701,1.2841955024968037,1.3204412820154308,0.06251213272335851,0.06427650658662522,0.7946843853820601,0.7946843853820601,-0.38081689094113846,0.036245779518627064,MODE_3_RELOCALIZE,no_observer_reseed,four_mode_relocalization_v2,,0,0,0,False,1,1,2.289443594974701,prior,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,2.1434007212519646,0,7,cache_read_only_not_online_fps,75af0ef3fc918763f0b62d63899bd6f7a427eaf26ec2562352624519f5cf2837,cached_perception_v2,1,1,1,3.5485534147593487,,1,2282.2050331160426,0,10.961918160319328,2282.2050331160426,2295.310351997614,2.6702604859158394,3.098612950442471,3.6442568856316595,2.6694551285149424,3.5485534147593487,2.289443594974701
sugar_box_yalehand0_drop60,7,2.6991525411218213,2.3946969484910694,1.3010893072862149,1.3323030946171182,0.06333449019552292,0.06485391649209102,0.7946843853820601,0.7946843853820601,-0.30445559263075195,0.031213787330903298,MODE_3_RELOCALIZE,no_observer_reseed,four_mode_relocalization_v2,,0,0,0,False,1,1,2.3946969484910694,prior,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,1.6851555556058884,0,8,cache_read_only_not_online_fps,75af0ef3fc918763f0b62d63899bd6f7a427eaf26ec2562352624519f5cf2837,cached_perception_v2,1,1,1,3.5553844597712168,,1,2262.405402958393,0,10.491733439266682,2262.405402958393,2274.5822919532657,2.6991525411218213,2.91312837348761,4.267074981000383,2.698426279268887,3.5553844597712168,2.3946969484910694
sugar_box_yalehand0_drop60,8,2.828370273410532,3.5715830701117808,1.2464859487154427,1.3592316928074837,0.06067650518352065,0.0661647481379403,0.7946843853820601,0.7946843853820601,0.7432127967012487,0.11274574409204097,MODE_3_RELOCALIZE,no_observer_reseed,four_mode_relocalization_v2,,0,0,0,False,1,1,2.828370273410532,observation,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,2.8929319232702255,0,9,cache_read_only_not_online_fps,75af0ef3fc918763f0b62d63899bd6f7a427eaf26ec2562352624519f5cf2837,cached_perception_v2,1,1,1,3.5345630821498184,,1,2259.24667250365,0,14.674138277769089,2259.24667250365,2276.8137427046895,2.828370273410532,2.7888304968862996,4.990688299721644,2.8275448013174995,3.5345630821498184,2.828370273410532
sugar_box_yalehand0_drop60,9,2.7379717770235072,3.4923355397238223,1.2406781443540347,1.2825374976052806,0.060393792593135646,0.062431424278551355,0.7946843853820601,0.7946843853820601,0.754363762700315,0.0418593532512459,MODE_3_RELOCALIZE,no_observer_reseed,four_mode_relocalization_v2,,0,0,0,False,1,1,2.7379717770235072,policy_output,b5_obs_prior_output_hindsight_v1,0,0,precomputed,0,0.0,2.3839659988880157,0,10,cache_read_only_not_online_fps,75af0ef3fc918763f0b62d63899bd6f7a427eaf26ec2562352624519f5cf2837,cached_perception_v2,1,1,1,0.9443175456272861,,1,2256.3313972204924,0,11.671683751046658,2256.3313972204924,2270.387046970427,2.7379717770235072,2.7069453057079573,5.816004520399875,2.7372819321107054,0.9443175456272861,0.9443175456272861
