episode,frame_id,E_obs_cm,E_prior_cm,E_obs_hat_cm,E_prior_hat_cm,e_obs_hat_norm,e_prior_hat_norm,p_obs_risk,p_prior_risk,delta_E_gt_cm,delta_E_hat_cm,selected_mode,policy_variant,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,restart_zero_velocity_prior,output_uncertain,both_candidates_bad,local_candidate_oracle_cm,is_blackout,recovery_attempted,sam2_cache_hit,quality_wall_ms,transition_wall_ms,policy_wall_ms,error_b1_obs_cm,error_b2_cm,error_b3_cm,error_b4_cm,error_b5_ours_cm,error_b6_oracle_cm
sugar_box1_clean,0,0.32628917581951894,0.32628917581951894,0.07417362793634094,0.07417362793634094,0.003610627560301005,0.003610627560301005,0.008333333333333333,0.008333333333333333,0.0,0.0,MODE_1_ACCEPT,no_rollout,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.32628917581951894,0,0,0,427.54092114046216,4.8407199792563915,432.38164111971855,0.32628917581951894,0.32628917581951894,0.32628917581951894,0.326289175819519,0.32628917581951894,0.32628917581951894
sugar_box1_clean,1,0.3590324204800386,0.3590324204800386,1.0007637343843776,1.0007637343843776,0.04871522697823483,0.04871522697823483,0.041666666666666664,0.041666666666666664,0.0,0.0,MODE_1_ACCEPT,no_rollout,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.3590324204800386,0,0,0,12.264507822692394,0.7139700464904308,12.978477869182825,0.3590324204800386,0.35903242048003786,0.3590324204800386,0.35903242048003126,0.3590324204800386,0.3590324204800386
sugar_box1_clean,2,0.3666287773866377,0.40334938378521634,0.9963984788472625,0.944876221730398,0.048502734851469886,0.04599473184971942,0.041666666666666664,0.041666666666666664,0.03672060639857866,-0.051522257116864534,MODE_1_ACCEPT,no_rollout,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.3666287773866377,0,0,0,10.32541785389185,0.719431322067976,11.044849175959826,0.3666287773866377,0.3848784415469694,0.3666287773866377,0.3666287248613349,0.3666287773866377,0.3666287773866377
sugar_box1_clean,3,0.38542932012712317,0.38383245997523097,1.054096292076681,1.2177690773473229,0.05131135188169028,0.05927862388672955,0.041666666666666664,0.041666666666666664,-0.0015968601518921988,0.16367278527064189,MODE_1_ACCEPT,no_rollout,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.38383245997523097,0,0,0,11.686941143125296,0.688530970364809,12.375472113490105,0.38542932012712317,0.4030193599050504,0.38542932012712317,0.38542946364793057,0.38542932012712317,0.38383245997523097
sugar_box1_clean,4,0.36733227103724453,0.4020468486555376,0.7506708881727691,1.0166522602915116,0.036541194936270505,0.04948864943482667,0.008333333333333333,0.041666666666666664,0.03471457761829305,0.2659813721187425,MODE_1_ACCEPT,no_rollout,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.36733227103724453,0,0,0,10.50177263095975,0.7001003250479698,11.201872956007719,0.36733227103724453,0.3907850137374027,0.36733227103724453,0.3673322349909738,0.36733227103724453,0.36733227103724453
sugar_box1_clean,5,0.35831096013116137,0.33854025074701183,1.0962849389854825,1.2390413061702439,0.05336501294019291,0.06031411450238322,0.041666666666666664,0.041666666666666664,-0.019770709384149543,0.14275636718476137,MODE_1_ACCEPT,no_rollout,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.33854025074701183,0,0,0,11.134384199976921,0.7297857664525509,11.864169966429472,0.35831096013116137,0.36278807828613074,0.35831096013116137,0.3583109043398364,0.35831096013116137,0.3514265943042443
sugar_box1_clean,6,0.3777265612770847,0.3695246373873673,1.231259011591074,0.9303624701706841,0.05993528757869482,0.04528823072738197,0.041666666666666664,0.041666666666666664,-0.00820192388971741,-0.3008965414203899,MODE_1_ACCEPT,no_rollout,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.3695246373873673,0,0,0,10.090596042573452,0.6904969923198223,10.781093034893274,0.3777265612770847,0.3669367863149791,0.3777265612770847,0.3777264844253759,0.3777265612770847,0.3777265612770847
sugar_box1_clean,7,0.35643373261774525,0.38121867749177946,1.1893270664522984,0.8607151439073628,0.05789412226175722,0.041897934705682094,0.041666666666666664,0.041666666666666664,0.02478494487403421,-0.32861192254493554,MODE_1_ACCEPT,no_rollout,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.35643373261774525,0,0,0,10.52385801449418,0.790473073720932,11.314331088215113,0.35643373261774525,0.3554289260426711,0.35643373261774525,0.3564336541464627,0.35643373261774525,0.35643373261774525
sugar_box1_clean,8,0.3327537938933788,0.33368701568896164,0.9507699626481761,0.780104441949007,0.046281627664081726,0.03797396293507049,0.041666666666666664,0.008333333333333333,0.0009332217955828614,-0.17066552069916918,MODE_1_ACCEPT,no_rollout,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.3327537938933788,0,0,0,10.85579302161932,0.7617231458425522,11.617516167461872,0.3327537938933788,0.33719429935184575,0.3327537938933788,0.3327538572305412,0.3327537938933788,0.3327537938933788
sugar_box1_clean,9,0.3474855551808043,0.3308559056688073,1.0490756487691308,1.0065211548269333,0.051066956756346815,0.048995486977704894,0.041666666666666664,0.041666666666666664,-0.016629649511997024,-0.04255449394219757,MODE_1_ACCEPT,no_rollout,relative_quality_restart_v1_1_development,0.0,0,0,0,False,0,0.3308559056688073,0,0,0,11.945371981710196,0.7467870600521564,12.692159041762352,0.3474855551808043,0.33803164482119746,0.3474855551808043,0.34748568298367694,0.3474855551808043,0.3308559056688073
