sequence,base_sequence,sequence_index,frame_id,D_obj_cm,E_obs_cm,E_prior_cm,e_obs_norm,e_prior_norm,E_update_cm,e_update_norm,obs_abs_risk_label,prior_abs_risk_label,obs_risk_label,prior_risk_label,delta_E_gt_cm,pair_state_gt,prior_advantage_margin_cm,x1_obs_depth_residual,x1_obs_norm,x2_obs_inlier_error,x4_obs_support_ratio,x5_obs_geometry_inconsistency,x1_prior_depth_residual,x1_prior_norm,x2_prior_inlier_error,x4_prior_support_ratio,x5_prior_geometry_inconsistency,e_obs_hat_norm,e_prior_hat_norm,E_obs_hat_cm,E_prior_hat_cm,p_obs_risk_rollout,p_prior_risk_rollout,delta_E_hat_cm,rollout_mode,policy_model_stage,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,output_uncertain
mustard_easy_00_02_clean,mustard_easy_00_02,0,0,22.44201091725071,0.35794216637571064,0.35794216637571064,0.01594964763610234,0.01594964763610234,0.35794216637571064,0.01594964763610234,0,0,0,0,0.0,TIE,0.1,13.824597001075745,0.6160141821537509,0.34301732925586137,0.251430754477563,0.44410129709697344,13.824597001075745,0.6160141821537509,0.34301732925586137,0.251430754477563,0.44410129709697344,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_1_ACCEPT,final_frozen_shared_quality,relative_quality_restart_v1_1_development,0.0,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,1,1,22.44201091725071,0.399347769625524,0.399347769625524,0.017794651784905496,0.017794651784905496,0.399347769625524,0.017794651784905496,0,0,0,0,0.0,TIE,0.1,14.197473227977753,0.6326292808753804,0.3360697793740379,0.2563906934132366,0.4441717791411043,14.197473227977753,0.6326292808753804,0.3360697793740379,0.2563906934132366,0.4441717791411043,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_1_ACCEPT,final_frozen_shared_quality,relative_quality_restart_v1_1_development,0.0,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,2,2,22.44201091725071,0.4388779921755371,0.4397618943158076,0.019556090307316473,0.01959547635625521,0.4388779921755371,0.019556090307316473,0,0,0,0,0.0008839021402705094,TIE,0.1,13.809765875339508,0.6153533177690519,0.33383609854198093,0.2411293428419331,0.4333128457283344,14.819258451461792,0.6603355869535976,0.3355635615028306,0.25867989599893215,0.4470018170805572,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_1_ACCEPT,final_frozen_shared_quality,relative_quality_restart_v1_1_development,0.0,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,3,3,22.44201091725071,0.4937182401269428,0.4771722827070853,0.021999732641936817,0.021262456580497108,0.4937182401269428,0.021999732641936817,0,0,0,0,-0.016545957419857538,TIE,0.1,13.043075799942017,0.5811901548410742,0.3366336633663366,0.2293017961491729,0.43480934809348093,13.179901242256165,0.5872869989616237,0.3323412698412699,0.2308279312063033,0.42987249544626593,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_1_ACCEPT,final_frozen_shared_quality,relative_quality_restart_v1_1_development,0.0,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,4,4,22.44201091725071,0.4723066721029614,0.5528210024422417,0.021045648442310893,0.024633309576429254,0.4723066721029614,0.021045648442310893,0,0,0,0,0.08051433033928035,TIE,0.1,13.010212779045105,0.5797258020690305,0.33531746031746035,0.2308279312063033,0.4286589099816289,12.166213244199753,0.5421177847680235,0.33478260869565213,0.21022510793504356,0.4142769981696156,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_1_ACCEPT,final_frozen_shared_quality,relative_quality_restart_v1_1_development,0.0,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,5,5,22.44201091725071,0.4263380615236427,0.4551628749498482,0.018997319941410663,0.02028173306875873,0.4263380615236427,0.018997319941410663,0,0,0,0,0.02882481342620552,TIE,0.1,14.101193845272064,0.6283391402520336,0.3346959632089933,0.25333842329897593,0.4311083894672382,13.198894262313843,0.5881333143888691,0.3356678339169584,0.23731400519910728,0.42865966646077824,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_1_ACCEPT,final_frozen_shared_quality,relative_quality_restart_v1_1_development,0.0,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,6,6,22.44201091725071,0.4010411182946782,0.37959923937783935,0.017870106193844073,0.01691467136245127,0.4010411182946782,0.017870106193844073,0,0,0,0,-0.021441878916838852,TIE,0.1,14.562399685382843,0.6488901435382971,0.3352390852390852,0.2659290375203013,0.44714459295261244,15.240830183029175,0.6791205226316802,0.3387519664394336,0.27241511151310527,0.4512946979038225,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_1_ACCEPT,final_frozen_shared_quality,relative_quality_restart_v1_1_development,0.0,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,7,7,22.44201091725071,0.43427770948422284,0.3850048400304644,0.01935110499168337,0.017155541072057814,0.43427770948422284,0.01935110499168337,0,0,0,0,-0.04927286945375842,TIE,0.1,14.394909143447876,0.6414268844501277,0.33350409836065575,0.25524609212038885,0.44777031154551006,15.218566358089447,0.6781284624717498,0.3307250912884716,0.26859977387027945,0.4519289650949173,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_1_ACCEPT,final_frozen_shared_quality,relative_quality_restart_v1_1_development,0.0,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,8,8,22.44201091725071,0.38726669460187285,0.471962250429423,0.017256327698521392,0.021030301258192306,0.38726669460187285,0.017256327698521392,0,0,0,0,0.08469555582755017,TIE,0.1,15.404890477657318,0.6864309323464368,0.34281200631911535,0.27546738162736606,0.45141451414514144,14.025600254535675,0.6249707437649665,0.34005037783375314,0.2426554778990635,0.4417892156862745,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_1_ACCEPT,final_frozen_shared_quality,relative_quality_restart_v1_1_development,0.0,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,9,9,22.44201091725071,0.3874041111053523,0.3691524523800043,0.017262450879905897,0.01644916998486283,0.3874041111053523,0.017262450879905897,0,0,0,0,-0.018251658725347952,TIE,0.1,14.680126309394836,0.6541359579372866,0.3367768595041323,0.2613506323489103,0.44553243574051404,15.834012627601624,0.7055523092821573,0.34086134453781514,0.27355971280595304,0.4621072088724584,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_1_ACCEPT,final_frozen_shared_quality,relative_quality_restart_v1_1_development,0.0,False,False,False
