sequence,base_sequence,sequence_index,frame_id,D_obj_cm,E_obs_cm,E_prior_cm,e_obs_norm,e_prior_norm,E_update_cm,e_update_norm,obs_abs_risk_label,prior_abs_risk_label,obs_risk_label,prior_risk_label,delta_E_gt_cm,pair_state_gt,prior_advantage_margin_cm,x1_obs_depth_residual,x1_obs_norm,x2_obs_inlier_error,x4_obs_support_ratio,x5_obs_geometry_inconsistency,x1_prior_depth_residual,x1_prior_norm,x2_prior_inlier_error,x4_prior_support_ratio,x5_prior_geometry_inconsistency,e_obs_hat_norm,e_prior_hat_norm,E_obs_hat_cm,E_prior_hat_cm,p_obs_risk_rollout,p_prior_risk_rollout,delta_E_hat_cm,rollout_mode,policy_model_stage,observer_source,observer_wall_ms,sam2_frame_wall_ms,sam2_timing_scope,sam2_cache_receipt_sha256,perception_runtime_version,observer_restarted,relocalization_attempted,relocalization_used,output_quality_unverified,policy_version,fusion_alpha,forced_streak_reset,motion_history_reset,output_uncertain
mustard_easy_00_02_clean,mustard_easy_00_02,0,0,22.44201091725071,0.35794216637571064,0.35794216637571064,0.01594964763610234,0.01594964763610234,0.35794216637571064,0.01594964763610234,0,0,0,0,0.0,TIE,0.1,13.824597001075745,0.6160141821537509,0.34301732925586137,0.251430754477563,0.44410129709697344,13.824597001075745,0.6160141821537509,0.34301732925586137,0.251430754477563,0.44410129709697344,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,9.153278544545174,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,1,1,22.44201091725071,0.399347769625524,0.399347769625524,0.017794651784905496,0.017794651784905496,0.399347769625524,0.017794651784905496,0,0,0,0,0.0,TIE,0.1,14.197473227977753,0.6326292808753804,0.3360697793740379,0.2563906934132366,0.4441717791411043,14.197473227977753,0.6326292808753804,0.3360697793740379,0.2563906934132366,0.4441717791411043,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,2.0355386659502983,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,2,2,22.44201091725071,0.4388779921755371,0.43976189431581497,0.019556090307316473,0.01959547635625554,0.4388779921755371,0.019556090307316473,0,0,0,0,0.0008839021402778924,TIE,0.1,13.809765875339508,0.6153533177690519,0.33383609854198093,0.2411293428419331,0.4333128457283344,14.819258451461792,0.6603355869535976,0.3355635615028306,0.25867989599893215,0.4470018170805572,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,2.4769986048340797,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,3,3,22.44201091725071,0.4937182401269428,0.47607065320536696,0.021999732641936817,0.021213368755623466,0.4937182401269428,0.021999732641936817,0,0,0,0,-0.017647586921575864,TIE,0.1,13.043075799942017,0.5811901548410742,0.3366336633663366,0.2293017961491729,0.43480934809348093,14.182202517986298,0.6319488289297966,0.336577868852459,0.25524609212038885,0.43578819233110166,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,2.239690162241459,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,4,4,22.44201091725071,0.4723066721029614,0.5330237030046207,0.021045648442310893,0.02375115603365545,0.4723066721029614,0.021045648442310893,0,0,0,0,0.06071703090165925,TIE,0.1,13.010212779045105,0.5797258020690305,0.33531746031746035,0.2308279312063033,0.4286589099816289,12.613867223262787,0.5620649267916882,0.33072023517883387,0.22128958709923852,0.4266747133373566,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,2.0398423075675964,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,5,5,22.44201091725071,0.4263380615236427,0.5195607879068912,0.018997319941410663,0.02315125813914989,0.4263380615236427,0.018997319941410663,0,0,0,0,0.09322272638324852,TIE,0.1,14.101193845272064,0.6283391402520336,0.3346959632089933,0.25333842329897593,0.4311083894672382,12.191684544086456,0.5432527677239013,0.3299170326988775,0.21823731698497784,0.4167175106772423,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,1.997329294681549,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,6,6,22.44201091725071,0.4010411182946782,0.4442095565268701,0.017870106193844073,0.019793661012142874,0.4010411182946782,0.017870106193844073,0,0,0,0,0.04316843823219191,TIE,0.1,14.562399685382843,0.6488901435382971,0.3352390852390852,0.2659290375203013,0.44714459295261244,13.626579940319061,0.6071906831595288,0.34074823053589487,0.24532621424904155,0.4363859864781807,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,4.352722316980362,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,7,7,22.44201091725071,0.43427770948422284,0.3732813421106132,0.01935110499168337,0.01663315036638181,0.43427770948422284,0.01935110499168337,0,0,0,0,-0.06099636737360964,TIE,0.1,14.394909143447876,0.6414268844501277,0.33350409836065575,0.25524609212038885,0.44777031154551006,15.313610434532166,0.6823635587290847,0.3375130616509927,0.2697443751631272,0.45320197044334976,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,2.064652740955353,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,8,8,22.44201091725071,0.38726669460187285,0.38721212702665636,0.017256327698521392,0.01725389620628936,0.38726669460187285,0.017256327698521392,0,0,0,0,-5.4567575216490916e-05,TIE,0.1,15.404890477657318,0.6864309323464368,0.34281200631911535,0.27546738162736606,0.45141451414514144,15.291999280452728,0.6814005811171799,0.3402922755741128,0.2689813076345621,0.45018450184501846,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,2.305269241333008,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,9,9,22.44201091725071,0.3874041111053523,0.36792099345837176,0.017262450879905897,0.016394297053636958,0.3874041111053523,0.017262450879905897,0,0,0,0,-0.01948311764698052,TIE,0.1,14.680126309394836,0.6541359579372866,0.3367768595041323,0.2613506323489103,0.44553243574051404,15.34590870141983,0.6838027464652799,0.3392857142857143,0.27355971280595304,0.447139303482587,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,2.0710239186882973,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,10,10,22.44201091725071,0.37398306022278827,0.3702519160989558,0.016664418424969005,0.016498161304001096,0.37398306022278827,0.016664418424969005,0,0,0,0,-0.003731144123832464,TIE,0.1,15.26319682598114,0.6801171642889023,0.3375130616509927,0.2697443751631272,0.4421641791044776,16.06549322605133,0.7158669196485471,0.3404142326075411,0.2815719218558874,0.464975845410628,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,2.2512879222631454,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,11,11,22.44201091725071,0.4351163817417014,0.3672455625864058,0.019388475629304524,0.016364200335724447,0.4351163817417014,0.019388475629304524,0,0,0,0,-0.06787081915529564,TIE,0.1,13.66402953863144,0.6088594105498889,0.3348623853211009,0.251430754477563,0.43550368550368546,14.6607905626297,0.6532743708524023,0.338851526125194,0.2624952336417581,0.444923076923077,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,1.6076592728495598,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
mustard_easy_00_02_clean,mustard_easy_00_02,12,12,22.44201091725071,0.48842748950651366,0.4317677778817081,0.02176398056784963,0.019239264229651415,0.48842748950651366,0.02176398056784963,0,0,0,0,-0.05665971162480554,TIE,0.1,13.476482033729553,0.6005024274972819,0.34052156469408223,0.2392216740205202,0.44083384426732064,13.719327747821808,0.6113234593106825,0.32930513595166166,0.24227394413478087,0.4311414392059554,0.0,0.0,0.0,0.0,0.0034344590726960505,0.0034344590726960505,0.0,MODE_4_TRUSTED_FUSION,final_frozen_shared_quality,precomputed,0.0,2.507045865058899,cache_read_only_not_online_fps,bd3d594556b4056b315c9772d734898da772db6367ee5b30a2ec9f0210812045,cached_perception_v2,False,False,False,False,four_mode_relocalization_v2,0.5,False,False,False
